Title,CELEX number,Initiating document,Initial reference,Adopted acts,Procedure status,ECLI identifier,Subject matter,Transposed legal act(s),Date of document,Author,In force indicator,Publication Reference
Judgment of the Court (Third Chamber) of 2 April 1992. # Antonino Pitrone v Commission of the European Communities. # Appeal - Official - Reorganization of departments - Creation of a new post. # Case C-378/90 P.,61990CJ0378,,,,,ECLI:EU:C:1992:159,Staff regulations and employment conditions - EC,,4/2/1992,Court of Justice,,European Court Reports 1992 I-02375
"Judgment of the Court of 31 March 1992. # Dansk Denkavit ApS and P. Poulsen Trading ApS, supported by Monsanto-Searle A/S v Skatteministeriet. # Reference for a preliminary ruling: Østre Landsret - Denmark. # Article 33 of the Sixth VAT Directive - Direct effect - Turnover tax - Law on the employment market contribution. # Case C-200/90.",61990CJ0200,,,,,ECLI:EU:C:1992:152,"Value added tax, Taxation",,3/31/1992,Court of Justice,,European Court Reports 1992 I-02217
Judgment of the Court of 31 March 1992. # Commission of the European Communities v Italian Republic. # Failure of a Member State to fulfil obligations - Public supply contracts - Admissibility. # Case C-362/90.,61990CJ0362,,,,,ECLI:EU:C:1992:158,Approximation of laws,,3/31/1992,Court of Justice,,European Court Reports 1992 I-02353
Summary of the Judgment,61990CJ0255_SUM,,,,,,,,3/31/1992,Court of Justice,,
Judgment of the Court (Fourth Chamber) of 31 March 1992. # Jean-Louis Burban v European Parliament. # Appeal - Refusal of admission to a competition - Duty of the administration to have regard for the interests of officials and principle of proper administration. # Case C-255/90 P.,61990CJ0255,,,,,ECLI:EU:C:1992:153,Staff regulations and employment conditions - EC,,3/31/1992,Court of Justice,,European Court Reports 1992 I-02253
Summary of the Judgment,61990CJ0052_SUM,,,,,,,,3/31/1992,Court of Justice,,
Summary of the Judgment,61990CJ0200_SUM,,,,,,,,3/31/1992,Court of Justice,,
Summary of the Judgment,61990CJ0284_SUM,,,,,,,,3/31/1992,Court of Justice,,
Summary of the Judgment,61990CJ0362_SUM,,,,,,,,3/31/1992,Court of Justice,,
Summary of the Judgment,61990CJ0338_SUM,,,,,,,,3/31/1992,Court of Justice,,
Judgment of the Court of 31 March 1992. # Commission of the European Communities v Kingdom of Denmark. # Inadmissibility. # Case C-52/90.,61990CJ0052,,,,,ECLI:EU:C:1992:151,Taxation,,3/31/1992,Court of Justice,,European Court Reports 1992 I-02187
"Judgment of the Court (Fifth Chamber) of 26 March 1992. # Mario Reichert, Hans-Heinz Reichert and Ingeborg Kockler v Dresdner Bank AG. # Reference for a preliminary ruling: Cour d'appel d'Aix-en-Provence - France. # Brussels Convention of 27 September 1968 - Action paulienne - Articles 5 (3), 16 (5) and 24 of the Convention. # Case C-261/90.",61990CJ0261,,,,,ECLI:EU:C:1992:149,"Brussels Convention of 27 September 1968, Brussels Convention of 27 September 1968 - Jurisdiction",,3/26/1992,Court of Justice,,European Court Reports 1992 I-02149
Summary of the Judgment,61990CJ0261_SUM,,,,,,,,3/26/1992,Court of Justice,,
Summary of the Judgment,61989CJ0381_SUM,,,,,,,,3/24/1992,Court of Justice,,
Judgment of the Court of 24 March 1992. # Syndesmos Melon tis Eleftheras Evangelikis Ekklissias and others v Greek State and others. # Reference for a preliminary ruling: Polymeles Protodikeio Athinan - Greece. # Company law - Direct effect - Primacy. # Case C-381/89.,61989CJ0381,,,,,ECLI:EU:C:1992:142,Right of establishment,,3/24/1992,Court of Justice,,European Court Reports 1992 I-02111
Judgment of the Court (Third Chamber) of 19 March 1992. # Josef Hierl v Hauptzollamt Regensburg. # Reference for a preliminary ruling: Finanzgericht München - Germany. # Additional levy on milk. # Case C-311/90.,61990CJ0311,,,,,ECLI:EU:C:1992:138,"Agriculture and Fisheries, Milk products",,3/19/1992,Court of Justice,,European Court Reports 1992 I-02061
Summary of the Judgment,61990CJ0188_SUM,,,,,,,,3/19/1992,Court of Justice,,
Summary of the Judgment,61990CJ0311_SUM,,,,,,,,3/19/1992,Court of Justice,,
Summary of the Judgment,61991CJ0060_SUM,,,,,,,,3/19/1992,Court of Justice,,
Summary of the Judgment,61990CJ0084_SUM,,,,,,,,3/19/1992,Court of Justice,,
Summary of the Judgment,61990CJ0029_SUM,,,,,,,,3/18/1992,Court of Justice,,
Summary of the Judgment,61991CJ0024_SUM,,,,,,,,3/18/1992,Court of Justice,,
Judgment of the Court of 13 March 1992. # Industrie- en Handelsonderneming Vreugdenhil BV v Commission of the European Communities. # Arrangements for returned goods - Invalidity on the ground that the Commission had no power to adopt a measure - Action to establish liability. # Case C-282/90.,61990CJ0282,,,,,ECLI:EU:C:1992:124,"Agriculture and Fisheries, Milk products, Non-contractual liability, Free movement of goods, Customs Union, Common customs tariff",,3/13/1992,Court of Justice,,European Court Reports 1992 I-01937
Summary of the Judgment,61990CJ0043_SUM,,,,,,,,3/13/1992,Court of Justice,,
Summary of the Judgment,61990CJ0282_SUM,,,,,,,,3/13/1992,Court of Justice,,
"Judgment of the Court of 11 March 1992. # Compagnie Commerciale de l'Ouest and others v Receveur Principal des Douanes de La Pallice Port. # References for a preliminary ruling: Cour d'appel de Poitiers - France. # Parafiscal charges on petroleum products. # Joined cases C-78/90, C-79/90, C-80/90, C-81/90, C-82/90 and C-83/90.",61990CJ0078,,,,,ECLI:EU:C:1992:118,"Free movement of goods, Competition, Internal taxation, Charges having an equivalent effect, Taxation, Customs Union, State monopolies of a commercial character, State aids, Quantitative restrictions, Measures having equivalent effect",,3/11/1992,Court of Justice,,European Court Reports 1992 I-01847
Summary of the Judgment,61990CJ0323_SUM,,,,,,,,3/11/1992,Court of Justice,,
Summary of the Judgment,61990CJ0078_SUM,,,,,,,,3/11/1992,Court of Justice,,
Judgment of the Court (Fifth Chamber) of 10 March 1992. # Minolta Camera Co. Ltd v Council of the European Communities. # Anti-dumping duties on plain paper photocopiers originating in Japan. # Case C-178/87.,61987CJ0178,,,,,ECLI:EU:C:1992:112,"Commercial policy, External relations, Dumping",,3/10/1992,Court of Justice,,European Court Reports 1992 I-01577
Judgment of the Court (Fifth Chamber) of 10 March 1992. # Sharp Corporation v Council of the European Communities. # Anti-dumping duties on plain paper photocopiers originating in Japan. # Case C-179/87.,61987CJ0179,,,,,ECLI:EU:C:1992:113,"Commercial policy, External relations, Dumping",,3/10/1992,Court of Justice,,European Court Reports 1992 I-01635
Judgment of the Court (Fifth Chamber) of 10 March 1992. # Matsushita Electric Industrial Co. Ltd and Matsushita Electric Trading Co. Ltd v Council of the European Communities. # Anti-dumping duties on plain paper photocopiers originating in Japan. # Case C-175/87.,61987CJ0175,,,,,ECLI:EU:C:1992:109,"Commercial policy, External relations, Dumping",,3/10/1992,Court of Justice,,European Court Reports 1992 I-01409
Judgment of the Court (Fifth Chamber) of 10 March 1992. # Canon Inc. v Council of the European Communities. # Anti-dumping duties on plain paper photocopiers originating in Japan. # Case C-171/87.,61987CJ0171,,,,,ECLI:EU:C:1992:106,"Dumping, External relations, Commercial policy",,3/10/1992,Court of Justice,,European Court Reports 1992 I-01237
Judgment of the Court of 10 March 1992. # Powell Duffryn plc v Wolfgang Petereit. # Reference for a preliminary ruling: Oberlandesgericht Koblenz - Germany. # Brussels Convention - Agreement conferring jurisdiction - Clause in the statutes of a company limited by shares. # Case C-214/89.,61989CJ0214,,,,,ECLI:EU:C:1992:115,"Brussels Convention of 27 September 1968 - Jurisdiction, Brussels Convention of 27 September 1968",,3/10/1992,Court of Justice,,European Court Reports 1992 I-01745
Judgment of the Court (Fifth Chamber) of 10 March 1992. # Chief Adjudication Officer v Anne Maria Twomey. # Reference for a preliminary ruling: Social Security Commissioner - United Kingdom. # Social security - Sickness benefits - Recipients. # Case C-215/90.,61990CJ0215,,,,,ECLI:EU:C:1992:117,Social security for migrant workers,,3/10/1992,Court of Justice,,European Court Reports 1992 I-01823
Summary of the Judgment,61990CJ0215_SUM,,,,,,,,3/10/1992,Court of Justice,,
Summary of the Judgment,61987CJ0174_SUM,,,,,,,,3/10/1992,Court of Justice,,
Summary of the Judgment,61987CJ0175_SUM,,,,,,,,3/10/1992,Court of Justice,,
Summary of the Judgment,61990CJ0038_SUM,,,,,,,,3/10/1992,Court of Justice,,
Summary of the Judgment,61989CJ0214_SUM,,,,,,,,3/10/1992,Court of Justice,,
Summary of the Judgment,61987CJ0171_SUM,,,,,,,,3/10/1992,Court of Justice,,
Summary of the Judgment,61987CJ0178_SUM,,,,,,,,3/10/1992,Court of Justice,,
Summary of the Judgment,61988CJ0188_SUM,,,,,,,,3/10/1992,Court of Justice,,
Summary of the Judgment,61987CJ0177_SUM,,,,,,,,3/10/1992,Court of Justice,,
Summary of the Judgment,61987CJ0179_SUM,,,,,,,,3/10/1992,Court of Justice,,
Judgment of the Court (Sixth Chamber) of 10 March 1992. # Criminal proceedings against Thomas Edward Lomas and others. # References for a preliminary ruling: Crown Court Maidstone and Crown Court Leeds - United Kingdom. # Common organization of the market in sheepmeat and goat meat - Clawback - Method of calculation - Validity. # Joined cases C-38/90 and C-151/90.,61990CJ0038,,,,,ECLI:EU:C:1992:116,"Sheepmeat and goatmeat, Agriculture and Fisheries",,3/10/1992,Court of Justice,,European Court Reports 1992 I-01781
Summary of the Judgment,61987CJ0176_SUM,,,,,,,,3/10/1992,Court of Justice,,
Summary of the Judgment,61987CJ0172_SUM,,,,,,,,3/10/1992,Court of Justice,,
Summary of the Judgment,61990CJ0005_SUM,,,,,,,,2/27/1992,Court of Justice,,
Summary of the Judgment,61990CJ0377_SUM,,,,,,,,2/27/1992,Court of Justice,,
Judgment of the Court of 26 February 1992. # V. J. M. Raulin v Minister van Onderwijs en Wetenschappen. # Reference for a preliminary ruling: College van Beroep Studiefinanciering - Netherlands. # Non-discrimination - Access to education - Study finance. # Case C-357/89.,61989CJ0357,,,,,ECLI:EU:C:1992:87,Free movement of workers,,2/26/1992,Court of Justice,,European Court Reports 1992 I-01027
Summary of the Judgment,61990CJ0003_SUM,,,,,,,,2/26/1992,Court of Justice,,
Judgment of the Court of 26 February 1992. # M. J. E. Bernini v Minister van Onderwijs en Wetenschappen. # Reference for a preliminary ruling: College van Beroep Studiefinanciering - Netherlands. # Non-discrimination - Access to education - Study finance. # Case C-3/90.,61990CJ0003,,,,,ECLI:EU:C:1992:89,Free movement of workers,,2/26/1992,Court of Justice,,European Court Reports 1992 I-01071
Summary of the Judgment,61990CJ0280_SUM,,,,,,,,2/26/1992,Court of Justice,,
Summary of the Judgment,61990CJ0333_SUM,,,,,,,,2/26/1992,Court of Justice,,
Summary of the Judgment,61989CJ0357_SUM,,,,,,,,2/26/1992,Court of Justice,,
Judgment of the Court of 26 February 1992. # Elisabeth Hacker v Euro-Relais GmbH. # Reference for a preliminary ruling: Landgericht Köln - Germany. # Brussels Convention - Jurisdiction in proceedings relating to tenancies of immovable property (Article 16 (1)). # Case C-280/90.,61990CJ0280,,,,,ECLI:EU:C:1992:92,"Brussels Convention of 27 September 1968, Brussels Convention of 27 September 1968 - Jurisdiction",,2/26/1992,Court of Justice,,European Court Reports 1992 I-01111
Summary of the Judgment,61990CJ0203_SUM,,,,,,,,2/25/1992,Court of Justice,,
Summary of the Judgment,61990CJ0345_SUM,,,,,,,,2/20/1992,Court of Justice,,
Summary of the Judgment,61990CJ0054_SUM,,,,,,,,2/18/1992,Court of Justice,,
Summary of the Judgment,61990CJ0030_SUM,,,,,,,,2/18/1992,Court of Justice,,
Summary of the Judgment,61989CJ0235_SUM,,,,,,,,2/18/1992,Court of Justice,,
Summary of the Judgment,61991CJ0005_SUM,,,,,,,,2/18/1992,Court of Justice,,
Judgment of the Court (Second Chamber) of 18 February 1992. # Antonietta Di Prinzio v Office National des Pensions. # Reference for a preliminary ruling: Tribunal du travail de Mons - Belgium. # Social security for migrant workers - Calculation of benefits - Retirement pension and survivor's pension - National anti-overlapping rules - Interpretation of Article 46 of Regulation (EEC) Nº 1408/71. # Case C-5/91.,61991CJ0005,,,,,ECLI:EU:C:1992:76,Social security for migrant workers,,2/18/1992,Court of Justice,,European Court Reports 1992 I-00897
Judgment of the Court (Sixth Chamber) of 13 February 1992. # Goldstar Co. Ltd v Council of the European Communities. # Antidumping - Normal value. # Case C-105/90.,61990CJ0105,,,,,ECLI:EU:C:1992:69,"Dumping, Commercial policy, External relations",,2/13/1992,Court of Justice,,European Court Reports 1992 I-00677
Summary of the Judgment,61990CJ0210_SUM,,,,,,,,2/13/1992,Court of Justice,,
Summary of the Judgment,61990CJ0105_SUM,,,,,,,,2/13/1992,Court of Justice,,
Summary of the Judgment,61990CJ0260_SUM,,,,,,,,2/12/1992,Court of Justice,,
Judgment of the Court of 12 February 1992. # Bernard Leplat v Territory of French Polynesia. # Reference for a preliminary ruling: Tribunal de paix de Papeete (Polynésie) - France. # Overseas countries and territories - Customs duties and charges having equivalent. # Case C-260/90.,61990CJ0260,,,,,ECLI:EU:C:1992:66,"Free movement of goods, Charges having an equivalent effect, Customs Union, Overseas countries and territories",,2/12/1992,Court of Justice,,European Court Reports 1992 I-00643
Summary of the Judgment,61990CJ0048_SUM,,,,,,,,2/12/1992,Court of Justice,,
"Judgment of the Court of 12 February 1992. # Kingdom of the Netherlands, Koninklijke PTT Nederland NV and PTT Post BV v Commission of the European Communities. # Competition - Public undertaking - Postal authorities - Messenger services. # Joined cases C-48/90 and C-66/90.",61990CJ0048,,,,,ECLI:EU:C:1992:63,"Dominant position, Agreements, decisions and concerted practices, Competition",,2/12/1992,Court of Justice,,European Court Reports 1992 I-00565
Summary of the Judgment,61991CJ0077_SUM,,,,,,,,2/6/1992,Court of Justice,,
Summary of the Judgment,61990CJ0253_SUM,,,,,,,,2/6/1992,Court of Justice,,
Summary of the Judgment,61991CJ0075_SUM,,,,,,,,2/6/1992,Court of Justice,,
Judgment of the Court of 4 February 1992. # British Aerospace Public Ltd Company and Rover Group Holdings plc v Commission of the European Communities. # State aid - Decision concerning compatibility -Non-compliance - Decision ordering recovery. # Case C-294/90.,61990CJ0294,,,,,ECLI:EU:C:1992:55,"Competition, State aids",,2/4/1992,Court of Justice,,European Court Reports 1992 I-00493
Summary of the Judgment,61990CJ0243_SUM,,,,,,,,2/4/1992,Court of Justice,,
Summary of the Judgment,61990CJ0294_SUM,,,,,,,,2/4/1992,Court of Justice,,
"Judgment of the Court (Sixth Chamber) of 4 February 1992. # The Queen v Secretary of State for Social Security, ex parte Florence Rose Smithson. # Reference for a preliminary ruling: High Court of Justice, Queen's Bench Division - United Kingdom. # Equality treatment of men and women - Social security - Invalidity pensions - Housing benefit. # Case C-243/90.",61990CJ0243,,,,,ECLI:EU:C:1992:54,Social Policy,,2/4/1992,Court of Justice,,European Court Reports 1992 I-00467
"Judgment of the Court of 30 January 1992. # Finanziaria Siderurgica Finsider SpA (in liquidation), Italsider SpA (in liquidation) and Societa Acciaierie e Ferriere Lombarde Falck SpA v Commission of the European Communities. # ECSC Treaty - Liability of the Commission. # Joined cases C-363/88 and C-364/88.",61988CJ0363,,,,,ECLI:EU:C:1992:44,"ECSC matters, Production quotas, Steel industry",,1/30/1992,Court of Justice,,European Court Reports 1992 I-00359
